"filename", "language", "TypeScript", "TypeScript JSX", "CSS", "JavaScript", "JSON with Comments", "JSON", "XML", "Markdown", "comment", "blank", "total"
"/Users/vector/Desktop/rent-a-buddy-client/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 23, 0, 14, 37
"/Users/vector/Desktop/rent-a-buddy-client/components.json", "JSON", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 21
"/Users/vector/Desktop/rent-a-buddy-client/eslint.config.mjs", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 5, 17
"/Users/vector/Desktop/rent-a-buddy-client/middleware.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11
"/Users/vector/Desktop/rent-a-buddy-client/next.config.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 1, 3, 11
"/Users/vector/Desktop/rent-a-buddy-client/package-lock.json", "JSON", 0, 0, 0, 0, 0, 6344, 0, 0, 0, 1, 6345
"/Users/vector/Desktop/rent-a-buddy-client/package.json", "JSON", 0, 0, 0, 0, 0, 52, 0, 0, 0, 1, 53
"/Users/vector/Desktop/rent-a-buddy-client/postcss.config.mjs", "JavaScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"/Users/vector/Desktop/rent-a-buddy-client/public/file.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/vector/Desktop/rent-a-buddy-client/public/globe.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/vector/Desktop/rent-a-buddy-client/public/next.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/vector/Desktop/rent-a-buddy-client/public/vercel.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/vector/Desktop/rent-a-buddy-client/public/window.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/vector/Desktop/rent-a-buddy-client/src/app/api/auth/[...nextauth]/route.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 2, 5, 11
"/Users/vector/Desktop/rent-a-buddy-client/src/app/chat/[chatId]/user/[userId]/page.tsx", "TypeScript JSX", 0, 324, 0, 0, 0, 0, 0, 0, 30, 44, 398
"/Users/vector/Desktop/rent-a-buddy-client/src/app/chat/layout.tsx", "TypeScript JSX", 0, 126, 0, 0, 0, 0, 0, 0, 13, 25, 164
"/Users/vector/Desktop/rent-a-buddy-client/src/app/chat/page.tsx", "TypeScript JSX", 0, 18, 0, 0, 0, 0, 0, 0, 6, 6, 30
"/Users/vector/Desktop/rent-a-buddy-client/src/app/dashboard/earning/page.tsx", "TypeScript JSX", 0, 7, 0, 0, 0, 0, 0, 0, 0, 3, 10
"/Users/vector/Desktop/rent-a-buddy-client/src/app/dashboard/event/page.tsx", "TypeScript JSX", 0, 44, 0, 0, 0, 0, 0, 0, 6, 7, 57
"/Users/vector/Desktop/rent-a-buddy-client/src/app/dashboard/history/page.tsx", "TypeScript JSX", 0, 7, 0, 0, 0, 0, 0, 0, 0, 3, 10
"/Users/vector/Desktop/rent-a-buddy-client/src/app/dashboard/layout.tsx", "TypeScript JSX", 0, 18, 0, 0, 0, 0, 0, 0, 1, 8, 27
"/Users/vector/Desktop/rent-a-buddy-client/src/app/dashboard/my-profile/page.tsx", "TypeScript JSX", 0, 43, 0, 0, 0, 0, 0, 0, 7, 9, 59
"/Users/vector/Desktop/rent-a-buddy-client/src/app/dashboard/page.tsx", "TypeScript JSX", 0, 7, 0, 0, 0, 0, 0, 0, 0, 3, 10
"/Users/vector/Desktop/rent-a-buddy-client/src/app/dashboard/post/page.tsx", "TypeScript JSX", 0, 32, 0, 0, 0, 0, 0, 0, 2, 4, 38
"/Users/vector/Desktop/rent-a-buddy-client/src/app/dashboard/settings/page.tsx", "TypeScript JSX", 0, 294, 0, 0, 0, 0, 0, 0, 23, 23, 340
"/Users/vector/Desktop/rent-a-buddy-client/src/app/dashboard/wallet/page.tsx", "TypeScript JSX", 0, 46, 0, 0, 0, 0, 0, 0, 7, 9, 62
